country,country_code,nutslevel,nuts2016,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote
Spain,ES,2,ES702,Santa Cruz de Tenerife,Parliament,2019,OTHER,NA,NA,NA,4170,855138,468022,463579.00
Spain,ES,2,ES702,Santa Cruz de Tenerife,Parliament,2019,PACMA,NA,NA,3219,6150,855138,468022,463579.00
Spain,ES,2,ES702,Santa Cruz de Tenerife,Parliament,2019,PODEMOS-IU,NA,NA,NA,64613,855138,468022,463579.00
Spain,ES,2,ES702,Santa Cruz de Tenerife,Parliament,2019,PP,People's Alliance-Party / People's Party,Alianza-Partido Popular / Partido Popular,441,93434,855138,468022,463579.00
Spain,ES,2,ES702,Santa Cruz de Tenerife,Parliament,2019,PSOE,Spanish Socialist Workers Party,Partido Socialista Obrero Espanol,1338,132518,855138,468022,463579.00
Spain,ES,2,ES702,Santa Cruz de Tenerife,Parliament,2019,VOX,Voice,Vox,3218,53491,855138,468022,463579.00
Spain,ES,3,ES111,A Coruna,Parliament,2019,BNG,Galician Nationalist Block,Bloque Nacionalista Galego,1011,58135,1087839,620550,613494.00
Spain,ES,3,ES111,A Coruna,Parliament,2019,CS,Citizens -- Party of the Citizenry,Ciudadanos - Partido de la Ciudadania,3217,28469,1087839,620550,613494.00
Spain,ES,3,ES111,A Coruna,Parliament,2019,CUP-PR,NA,NA,NA,0,1087839,620550,613494.00
Spain,ES,3,ES111,A Coruna,Parliament,2019,EAJ-PNV,NA,NA,NA,0,1087839,620550,613494.00
Spain,ES,3,ES111,A Coruna,Parliament,2019,ECP-GUANYEM EL CANVI,NA,NA,NA,0,1087839,620550,613494.00
Spain,ES,3,ES111,A Coruna,Parliament,2019,EH BILDU,Basque Country Unite,Euskal Herria Bildu / Reunir Euskal Herria,5668,0,1087839,620550,613494.00
Spain,ES,3,ES111,A Coruna,Parliament,2019,ERC-SOBIRANISTES,NA,NA,NA,0,1087839,620550,613494.00
